Name,ZoneId
Quartier administratif,40
Wetirivikondji,40
Adoboukomé,40
Abobokomé,40
Sanguera,40
Kokétimé,40
Agbadahonou,40
Adawlato,40
Béniglato,40
Aguiarkomé,40
Fréau Jardin,40
Kodjoviakopé,41
Nyéconakpoè,41
Octaviano Nétimé,41
Hanoukopé,41
Doulassamé,41
Amoutivé,41
Lomnava,41
Kpehénou,41
Bassadji,41
Bè Apéyémé,41
Souza Nétimé,41
Anthonio Nétimé,41
Kotokou kondji,42
Bè Ahligo,42
Ablogamé,42
Wété,42
Akodéssewa,42
Gbenyédji,42
Bè,42
Tokoin Ouest,42
Tokoin Hopital,42
Tokoin Solidarité,42
Cassablanca,42
Abové,42
Akossombo,42
Tokoin Gbadago,42
Tokoin Elavagnon,42
Tokoin Lycée,42
Gbonvié,42
Dogbéavou,42
Saint Joseph,42
Bè Kpota,42
Akodésséwa Kponou,42
Kanyikopé,42
Adakpamé,42
Akodésséwa Kpota,42
Klikamé,43
Université,43
Doulassamé,43
Tokoin Tamé,43
Tokoin Forever,43
Tokoin Nkafu,43
Tokoin Wuiti,43
Hédzranawoé,43
Tokoin Aéroport,43
Lomé II (Hors cité OUA et caisse),43
Agbalépédogan,43
Totsi-Cacavéli,43
Kelegougan,43
Attiégou,43
Soviépé,43
Avénou Batomé,43
Kégué,43
Aflao Gakli,43
Amandahomé,43
Apédokoè,43
Avédji,43
Sagbado,44
Yokoè,44
Awatamé,44
Gblinkomégan,44
Ségbé,44
Wonyomé,44
Lankouvi,44
Akato,44
Akato-Démé,44
Akato-Viépé,44
Akato-Avoiémé,44
Zone 5,44
Klémé-Agokpanou,44
Dévégo,45
Baguida,45
Avépozo,45
Kpogan,45
Baguida Plantation,45
Kpogan Agodékè,45
Kpogan Agbétiko,45
Kpogan nouveau quartier,45
Adamavo,45
Zone portuaire,46
Résidence du Bénin,47
Résidence de la caisse(Baguida),47
Cité Mokpokpo,47
Cité des anges,47
Well city,47
Résidence de la BOAD,47
Résidence de la BCEAO,47
Baie des anges,47
Cité millénium,47
Cité renaissance,47
Lomé II,47
Sito Aéroport,47
Agoènyivé,48
Anomé,48
Vakpossito,48
Téléssou,48
Démakpoè,48
Sogbossito,48
Fiovi,48
Nyivémé,48
Kididjan,48
Atchanvé,48
Agoè Assiyéyé,48
Logopé,48
Anokoui,48
Adétikopé Zone Urbaine,48
Sanguera 2,49
Amédenta,49
Konhé,49
Zopomahé,49
Zossimé,49
Daliko,49
Périurbaine   Légbassito,49
Madjikpéto,49
Ahonkpoè,49
Togblékopé,49
Zongo,49
Adétikopé Périurbain,49
Daviémodji,50
Tsévié wémé,50
Tsévié Wagba,50
Tsévié Wuagba (cité Nord),50
Tsévié Davié Adidomé,50
Tsévié Assiama,50
Tsévié Boloumondji,50
Tsévié Gbatopémodji,50
Kpali,50
Kpatéfi,50
Mission Tové,51
Apessito,51
Périurbaine   Kpala,51
Davié Assomé,51
Djagblé,51
Atakpamé Eroma,61
Agbonou Kpota,61
Idiotsè,61
Commune,61
Talo Sanin,61
Ayelecopé,61
Agbonou-kpota,61
Agbonou,61
Gnagna,61
Woudou,61
Doulassamé,61
Agbonou-kpotamé,61
Talo-Tandjé,61
Aféyé-kpota,61
Nlessi,58
Glidji,58
Zébé,58
Assoukondji,58
Vodougbé Cocoteraie,58
Adjido,58
Abalo Kondji,58
Vodougbé,58
tonoukondji,58
Yésuvito,58
Kpota,58
Dégbénou,58
Commune,58
Goumoukopé,58
Séva-Mondji,71
Adjrégo-Apégan,71
Adagbé,71
 Agbopé,71
Ville de Vogan,71
Agogbezin,71
Amoindji-Pédakomé,71
Kpodzi,74
Kusuntu,74
Kpegolonou,74
Kligekodzi,74
Kpota,74
Zomayi Kpota,74
Kpeta,74
Dzodzekodzi,74
Agoekodzi,74
Kpogadzi,74
Sihinu,74
Gakpodzi,74
 Zongo,74
Afiadényigba Kodzi,74
Dome,74
Totsoanyi,74
Samkodzi,74
Akpamé Kondzi,74
Kpogadzi,74
Numetukodzi,74
Nogo,74
Lomnava,74
Novissi,74
Tsivé,74
Nyivémé,74
Notsè,67
Avizouha,67
Atiteromé,67
